epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,962.135,1.1141,0.84625,1.66928,0.91934,0.94366,0.9737,0.758,0.87651,0.71351,1.71402,0.0004259,0.0004259,0.0004259
161,968.05,1.20713,0.98032,1.70114,0.88448,0.94366,0.96871,0.75732,0.86392,0.71987,1.69304,0.000416,0.000416,0.000416
162,974.192,1.07689,0.82514,1.66311,0.87486,0.95775,0.97325,0.76891,0.83414,0.70657,1.67788,0.0004061,0.0004061,0.0004061
163,980.13,1.0693,0.84052,1.71473,0.87486,0.95775,0.97325,0.76891,0.83414,0.70657,1.67788,0.0003962,0.0003962,0.0003962
164,986.785,1.15951,0.94896,1.72558,0.92336,0.95775,0.98042,0.76922,0.84619,0.69789,1.6791,0.0003863,0.0003863,0.0003863
165,991.943,1.08857,0.81796,1.67969,0.95817,0.95775,0.9837,0.77058,0.86498,0.69689,1.67148,0.0003764,0.0003764,0.0003764
166,999.08,1.05558,0.89514,1.6786,0.96842,0.97183,0.98528,0.78584,0.86925,0.69613,1.67624,0.0003665,0.0003665,0.0003665
167,1004.73,1.06726,0.8531,1.67731,0.96842,0.97183,0.98528,0.78584,0.86925,0.69613,1.67624,0.0003566,0.0003566,0.0003566
168,1010.61,1.14347,0.87849,1.68218,0.95807,0.96543,0.97637,0.8008,0.87448,0.70571,1.68274,0.0003467,0.0003467,0.0003467
169,1016.77,1.07659,0.87347,1.63778,0.95415,0.95775,0.97479,0.79019,0.87554,0.7073,1.68142,0.0003368,0.0003368,0.0003368
170,1022.27,1.08011,0.85008,1.64283,0.95817,0.9679,0.98401,0.80294,0.84532,0.68304,1.65735,0.0003269,0.0003269,0.0003269
171,1028.56,1.06997,0.87952,1.69573,0.95817,0.9679,0.98401,0.80294,0.84532,0.68304,1.65735,0.000317,0.000317,0.000317
172,1034.24,1.04554,0.8168,1.63238,0.95185,0.98592,0.98491,0.8156,0.79988,0.6678,1.6343,0.0003071,0.0003071,0.0003071
173,1040.37,1.03606,0.83177,1.64432,0.97214,0.98294,0.98556,0.81473,0.77406,0.65179,1.61939,0.0002972,0.0002972,0.0002972
174,1046.02,1.0531,0.79969,1.58464,0.96566,0.97183,0.98233,0.81153,0.75869,0.6573,1.61293,0.0002873,0.0002873,0.0002873
175,1051.87,1.08172,0.82002,1.66995,0.96566,0.97183,0.98233,0.81153,0.75869,0.6573,1.61293,0.0002774,0.0002774,0.0002774
176,1058.4,1.04931,0.8051,1.68298,0.95807,0.96547,0.98347,0.79885,0.7867,0.64956,1.6294,0.0002675,0.0002675,0.0002675
177,1064.09,1.07133,0.92074,1.64604,0.95902,0.94366,0.98159,0.78333,0.83554,0.65251,1.67233,0.0002576,0.0002576,0.0002576
178,1069.8,1.0374,0.81597,1.63508,0.96772,0.97183,0.98152,0.78471,0.86129,0.66692,1.69914,0.0002477,0.0002477,0.0002477
179,1075.68,0.99115,0.77671,1.58536,0.96772,0.97183,0.98152,0.78471,0.86129,0.66692,1.69914,0.0002378,0.0002378,0.0002378
